id,session_id,group_id,stage,action,trigger_source,message,hint,scaffolds,metrics_snapshot_json,form_snapshot_json,created_at
decision-0011,synthetic-session,group-01,3,probe,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:50:33+00:00
decision-0012,synthetic-session,group-01,4,probe,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt smooth"", ""thinkBox"": """"}",2026-01-01T09:56:43+00:00
decision-0013,synthetic-session,group-01,4,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:02:07+00:00
decision-0014,synthetic-session,group-01,4,probe,idle,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:08:34+00:00
decision-0015,synthetic-session,group-01,5,probe,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:12:24+00:00
decision-0016,synthetic-session,group-01,5,probe,help_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:15:04+00:00
decision-0017,synthetic-session,group-01,5,probe,idle,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:16:18+00:00
decision-0018,synthetic-session,group-01,6,probe,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T10:22:46+00:00
decision-0019,synthetic-session,group-01,6,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt sticky"", ""thinkBox"": """"}",2026-01-01T10:28:00+00:00
decision-0020,synthetic-session,group-01,6,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:30:26+00:00
decision-0021,synthetic-session,group-02,0,scaffold,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:35:54+00:00
decision-0022,synthetic-session,group-02,0,scaffold,idle,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""fallback"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:40:17+00:00
decision-0023,synthetic-session,group-02,0,scaffold,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:44:52+00:00
decision-0024,synthetic-session,group-02,1,scaffold,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:46:31+00:00
decision-0025,synthetic-session,group-02,1,scaffold,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:48:58+00:00
decision-0026,synthetic-session,group-02,1,scaffold,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""fallback"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:50:21+00:00
decision-0027,synthetic-session,group-02,2,scaffold,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T10:56:08+00:00
decision-0028,synthetic-session,group-02,2,probe,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T10:58:35+00:00
decision-0029,synthetic-session,group-02,2,probe,next_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T11:05:11+00:00
decision-0030,synthetic-session,group-02,3,probe,help_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:07:42+00:00
decision-0031,synthetic-session,group-02,3,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T11:08:55+00:00
decision-0032,synthetic-session,group-02,3,probe,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt sticky"", ""thinkBox"": """"}",2026-01-01T11:11:57+00:00
decision-0033,synthetic-session,group-02,4,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T11:13:46+00:00
decision-0034,synthetic-session,group-02,4,probe,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:16:22+00:00
decision-0035,synthetic-session,group-02,4,probe,help_click,try describing sample 1 in your own words,,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:22:27+00:00
decision-0036,synthetic-session,group-02,5,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:23:43+00:00
decision-0037,synthetic-session,group-02,5,probe,next_click,try describing sample 2 in your own words,,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:27:20+00:00
decision-0038,synthetic-session,group-02,5,probe,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt smooth"", ""thinkBox"": """"}",2026-01-01T11:30:47+00:00
decision-0039,synthetic-session,group-02,6,probe,next_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T11:37:04+00:00
decision-0040,synthetic-session,group-02,6,probe,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:42:32+00:00
decision-0041,synthetic-session,group-03,0,scaffold,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T11:44:14+00:00
decision-0042,synthetic-session,group-03,0,scaffold,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T11:50:46+00:00
decision-0043,synthetic-session,group-03,0,scaffold,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt smooth"", ""thinkBox"": """"}",2026-01-01T11:54:51+00:00
decision-0044,synthetic-session,group-03,0,scaffold,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T12:00:34+00:00
decision-0045,synthetic-session,group-03,0,probe,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T12:03:55+00:00
decision-0046,synthetic-session,group-03,1,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T12:04:44+00:00
decision-0047,synthetic-session,group-03,1,probe,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T12:09:35+00:00
decision-0048,synthetic-session,group-03,1,probe,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:15:13+00:00
decision-0049,synthetic-session,group-03,1,probe,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T12:19:48+00:00
decision-0050,synthetic-session,group-03,2,probe,idle,try describing sample 1 in your own words,,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:20:41+00:00
decision-0051,synthetic-session,group-03,2,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T12:23:20+00:00
decision-0052,synthetic-session,group-03,2,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T12:24:18+00:00
decision-0053,synthetic-session,group-03,2,probe,next_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T12:28:27+00:00
decision-0054,synthetic-session,group-03,3,probe,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T12:34:29+00:00
decision-0055,synthetic-session,group-03,3,probe,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:37:54+00:00
decision-0056,synthetic-session,group-03,3,probe,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T12:40:36+00:00
decision-0057,synthetic-session,group-03,3,probe,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:44:56+00:00
decision-0058,synthetic-session,group-03,3,probe,next_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:51:26+00:00
decision-0059,synthetic-session,group-03,4,release,help_click,"keep going, you are doing well",,"[""I noticed ____ about sample 3.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:53:09+00:00
decision-0060,synthetic-session,group-03,4,probe,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T12:57:39+00:00
decision-0061,synthetic-session,group-03,4,release,next_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:03:01+00:00
decision-0062,synthetic-session,group-03,4,release,idle,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 4, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:04:26+00:00
decision-0063,synthetic-session,group-03,5,release,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 4, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:07:38+00:00
decision-0064,synthetic-session,group-03,5,release,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt smooth"", ""thinkBox"": """"}",2026-01-01T13:10:18+00:00
decision-0065,synthetic-session,group-03,5,release,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 4, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:12:17+00:00
decision-0066,synthetic-session,group-03,5,release,next_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 4, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:16:06+00:00
decision-0067,synthetic-session,group-03,6,release,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:18:40+00:00
decision-0068,synthetic-session,group-03,6,release,next_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:20:21+00:00
decision-0069,synthetic-session,group-03,6,release,idle,try describing sample 3 in your own words,,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:24:38+00:00
decision-0070,synthetic-session,group-03,6,release,next_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 4, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:30:34+00:00
decision-0071,synthetic-session,group-04,0,scaffold,next_click,try describing sample 3 in your own words,,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:31:55+00:00
decision-0072,synthetic-session,group-04,0,scaffold,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt smooth"", ""thinkBox"": """"}",2026-01-01T13:37:20+00:00
decision-0073,synthetic-session,group-04,0,scaffold,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:43:37+00:00
decision-0074,synthetic-session,group-04,0,probe,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:45:01+00:00
decision-0075,synthetic-session,group-04,1,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:51:36+00:00
decision-0076,synthetic-session,group-04,1,probe,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:52:33+00:00
decision-0077,synthetic-session,group-04,1,probe,next_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T13:53:45+00:00
decision-0078,synthetic-session,group-04,1,probe,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""llm"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T13:59:52+00:00
decision-0079,synthetic-session,group-04,2,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T14:02:25+00:00
decision-0080,synthetic-session,group-04,2,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:04:24+00:00
decision-0081,synthetic-session,group-04,2,probe,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:07:14+00:00
decision-0082,synthetic-session,group-04,2,probe,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T14:10:49+00:00
decision-0083,synthetic-session,group-04,3,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt smooth"", ""thinkBox"": """"}",2026-01-01T14:17:20+00:00
decision-0084,synthetic-session,group-04,3,probe,help_click,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""fallback"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T14:18:45+00:00
decision-0085,synthetic-session,group-04,3,probe,next_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T14:23:59+00:00
decision-0086,synthetic-session,group-04,4,probe,idle,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:28:27+00:00
decision-0087,synthetic-session,group-04,4,probe,idle,try describing sample 2 in your own words,,"[""I noticed ____ about sample 4.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:34:09+00:00
decision-0088,synthetic-session,group-04,4,probe,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:39:25+00:00
decision-0089,synthetic-session,group-04,4,probe,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 3, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T14:40:50+00:00
